solver,algorithm,control
nlsj::nlsj,default,nlsj::nlsj.control()
minpack.lm::nlsLM,default,minpack.lm::nls.lm.control()
minpack.lm::nlsLM,default,minpack.lm::nls.lm.control(maxiter=50)
nlsj::nlsj,default,"nlsj::nlsj.control(maxiter=500,scaleOffset=100)"
nlsj::nlsj,default,nlsj::nlsj.control(minFactor=0.0001)
nlsj::nlsj,marquardt,nlsj::nlsj.control()
nlsr::nlxb,NULL,"list(phi=0.5,offset=99)"
nlsr::nlxb,NULL,NULL
nls,default,nls.control()
nlsr22,NULL,"list(phi=1, psi=1)"
nlsr22,NULL,"list(phi=0, psi=1)"
nlsr22,NULL,"list(phi=1, psi=0, stepredn=0.5)"
